import time: self [us] | cumulative | imported package
import time:       122 |        122 |           pandas._testing.compat
import time:       145 |        145 |           pandas._testing.contexts
import time:       458 |       6037 |         pandas._testing
import time:       142 |       6178 |       pandas.testing
import time:       163 |        163 |       pandas.util._print_versions
import time:       138 |        138 |         pandas.io.clipboards
import time:       170 |        170 |             pandas.io.excel._util
import time:       308 |        308 |             pandas.io.excel._calamine
import time:       256 |        256 |             pandas.io.excel._odfreader
import time:       377 |        377 |             pandas.io.excel._openpyxl
import time:       174 |        174 |             pandas.io.excel._pyxlsb
import time:       210 |        210 |             pandas.io.excel._xlrd
import time:       600 |       2091 |           pandas.io.excel._base
import time:       218 |        218 |           pandas.io.excel._odswriter
import time:       217 |        217 |           pandas.io.excel._xlsxwriter
import time:       148 |       2673 |         pandas.io.excel
import time:       154 |        154 |         pandas.io.feather_format
import time:       531 |        531 |         pandas.io.html
import time:       152 |        152 |         pandas.io.iceberg
import time:       139 |        139 |         pandas.io.orc
import time:       245 |        245 |         pandas.io.parquet
import time:       162 |        162 |           pandas.compat.pickle_compat
import time:       148 |        310 |         pandas.io.pickle
import time:       449 |        449 |           pandas.core.computation.pytables
import time:      1622 |       2071 |         pandas.io.pytables
import time:       141 |        141 |         pandas.io.spss
import time:      1327 |       1327 |         pandas.io.sql
import time:       329 |        329 |         pandas.io.xml
import time:       277 |       8482 |       pandas.io.api
import time:       128 |        128 |       pandas.util._tester
import time:       101 |        101 |       pandas._version_meson
import time:       532 |     206193 |     pandas
import time:       193 |        193 |       cemd._utils
import time:       156 |        156 |       cemd._constants
import time:       235 |        584 |     cemd.core._edit
import time:       249 |        249 |     cemd.core._topology
import time:      9872 |       9872 |     cemd.core._io
import time:       277 |        277 |         shlex
import time:       422 |        698 |       webbrowser
import time:       144 |        144 |           email
import time:       156 |        156 |               quopri
import time:       363 |        363 |                   _socket
import time:       223 |        223 |                   array
import time:      1311 |       1896 |                 socket
import time:       203 |        203 |                 email._parseaddr
import time:       113 |        113 |                   email.base64mime
import time:       212 |        212 |                   email.quoprimime
import time:       376 |        376 |                   email.errors
import time:       112 |        112 |                   email.encoders
import time:       300 |       1112 |                 email.charset
import time:       545 |       3754 |               email.utils
import time:       489 |        489 |                 email.header
import time:       250 |        739 |               email._policybase
import time:       235 |        235 |               email._encoded_words
import time:       124 |        124 |               email.iterators
import time:       563 |       5568 |             email.message
import time:        98 |         98 |               importlib.metadata._functools
import time:       149 |        247 |             importlib.metadata._text
import time:       241 |       6055 |           importlib.metadata._adapters
import time:       277 |        277 |           importlib.metadata._meta
import time:       246 |        246 |           importlib.metadata._collections
