import time: self [us] | cumulative | imported package
import time:       357 |       1689 |             MDAnalysis.selections
import time:      1215 |       1215 |             MDAnalysis.core.selection
import time:       669 |        669 |             MDAnalysis.core.topologyobjects
import time:       216 |        216 |             MDAnalysis.core._get_readers
import time:      1560 |       5586 |           MDAnalysis.core.groups
import time:       191 |       5777 |         MDAnalysis.core
import time:        32 |       5808 |       MDAnalysis.core.groups
import time:       458 |       6266 |     MDAnalysis.lib.NeighborSearch
import time:       304 |        304 |         MDAnalysis.lib.formats.cython_util
import time:       782 |       1085 |       MDAnalysis.lib.formats.libmdaxdr
import time:       501 |        501 |       MDAnalysis.lib.formats.libdcd
import time:       230 |       1815 |     MDAnalysis.lib.formats
import time:       578 |        578 |           scipy.__config__
import time:       154 |        154 |           scipy.version
import time:        36 |         36 |             scipy._distributor_init_local
import time:       168 |        203 |           scipy._distributor_init
import time:        80 |         80 |               cython
import time:       399 |        479 |             scipy._lib._testutils
import time:       146 |        625 |           scipy._lib
import time:      1912 |       1912 |           scipy._lib._pep440
import time:       303 |        303 |               scipy._cyutility
import time:       476 |        778 |             scipy._lib._ccallback_c
import time:       293 |       1070 |           scipy._lib._ccallback
import time:       441 |       4978 |         scipy
import time:      1340 |       1340 |                             scipy._lib.array_api_compat.common._typing
import time:       572 |       1911 |                           scipy._lib.array_api_compat.common._helpers
import time:       196 |       2106 |                         scipy._lib.array_api_compat.common
import time:       146 |       2252 |                       scipy._lib.array_api_compat
import time:       173 |        173 |                         scipy._lib.array_api_compat._internal
import time:     11293 |      11293 |                           numpy.ma.core
import time:      1114 |       1114 |                           numpy.ma.extras
import time:       295 |      12700 |                         numpy.ma
import time:       532 |        532 |                             numpy._core.strings
import time:       170 |        170 |                             numpy.strings
import time:       628 |       1329 |                           numpy._core.defchararray
import time:       192 |       1521 |                         numpy.char
import time:       495 |        495 |                               numpy.random._common
import time:       285 |        285 |                                 hmac
import time:       427 |        712 |                               secrets
import time:       553 |       1759 |                             numpy.random.bit_generator
import time:       389 |       2148 |                           numpy.random._bounded_integers
import time:       245 |        245 |                               numpy.random._pcg64
import time:      1402 |       1646 |                             numpy.random._generator
import time:       224 |        224 |                             numpy.random._mt19937
import time:       235 |        235 |                             numpy.random._philox
import time:       206 |        206 |                             numpy.random._sfc64
import time:      1299 |       1299 |                             numpy.random.mtrand
import time:       247 |       3855 |                           numpy.random._pickle
import time:       229 |       6231 |                         numpy.random
import time:       197 |        197 |                         numpy.rec
